Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description
Ford & Sons (Sidmouth) Ltd                                                                ,P013676   ,2018-06-14,2018-09-14,100820    ,16395,16395,Capital Corp Build And Securty                                                                                                                                                                          ,Manstone Depot New Office - mechanical & elec                                                                                                                                                                                                                                                               
Aecom Limited                                                                             ,P013663   ,2018-06-13,2018-06-19,017000    ,11500,11500,Capital Corp Build And Securty                                                                                                                                                                          ,Relocation Project Blackdown House                                                                                                                                                                                                                                                                          
Network Rail Ltd                                                                          ,P013662   ,2018-06-13,2018-07-03,904587    ,6950,6950,Capital Flood Alleviation Sch                                                                                                                                                                           ,Feniton Basic Services Agreement dated 31st M                                                                                                                                                                                                                                                               
Calorex Heat Pumps Limited                                                                ,P013641   ,2018-06-12,2018-06-19,138533    ,3393,5208,Sports Centres And Swim Pools                                                                                                                                                                           ,Exm LC - Calorex Gold Service Contract 2018/1                                                                                                                                                                                                                                                               
Calorex Heat Pumps Limited                                                                ,P013641   ,2018-06-12,2018-06-19,138533    ,1815,5208,Sports Centres And Swim Pools                                                                                                                                                                           ,Hon Pool - Calorex Silver Maintenance Contrac                                                                                                                                                                                                                                                               
Farming & Wildlife Advisory Group                                                         ,P013631   ,2018-06-11,2018-06-18,481424    ,2900,5400,Aonb And Countryside                                                                                                                                                                                    ,Alternative forage crop demonstration South D                                                                                                                                                                                                                                                               
Farming & Wildlife Advisory Group                                                         ,P013631   ,2018-06-11,2018-06-18,481424    ,2500,5400,Aonb And Countryside                                                                                                                                                                                    ,Multi species ley demonstration Farwood Barto                                                                                                                                                                                                                                                               
Resolution Data Management Ltd                                                            ,P013625   ,2018-06-11,2018-06-18,085147    ,5563,5563,Land Charges                                                                                                                                                                                            ,Resolution Data Management - scanning files                                                                                                                                                                                                                                                                 
Leese'S Ltd                                                                               ,P013617   ,2018-06-08,2018-06-15,109002    ,20000,38200,Street Cleansing                                                                                                                                                                                        ,Manstone Depot Cleansing                                                                                                                                                                                                                                                                                    
Leese'S Ltd                                                                               ,P013617   ,2018-06-08,2018-06-15,109002    ,13200,38200,Parks And Pleasure Grounds                                                                                                                                                                              ,Manstone Depot Grounds                                                                                                                                                                                                                                                                                      
Leese'S Ltd                                                                               ,P013617   ,2018-06-08,2018-06-15,109002    ,2000,38200,Cemeteries                                                                                                                                                                                              ,Seaton Cemetery                                                                                                                                                                                                                                                                                             
Leese'S Ltd                                                                               ,P013617   ,2018-06-08,2018-06-15,109002    ,1000,38200,Cemeteries                                                                                                                                                                                              ,Sidbury Cemetery                                                                                                                                                                                                                                                                                            
Leese'S Ltd                                                                               ,P013617   ,2018-06-08,2018-06-15,109002    ,2000,38200,Cemeteries                                                                                                                                                                                              ,Sidmouth Cemetery                                                                                                                                                                                                                                                                                           
