Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description
Suez Recycling & Recovery Uk Limited                                                      ,NP01653   ,2018-10-30,2018-11-06,562017    ,,30980,Refuse Collection & Recycling                                                                                                                                                                           ,Bin deliveries                                                                                                                                                                                                                                                                                              
Suez Recycling & Recovery Uk Limited                                                      ,NP01653   ,2018-10-30,2018-11-06,562017    ,,30980,Refuse Collection & Recycling                                                                                                                                                                           ,Green Waste Service - July 2018 Labour                                                                                                                                                                                                                                                                      
Suez Recycling & Recovery Uk Limited                                                      ,NP01653   ,2018-10-30,2018-11-06,562017    ,,30980,Refuse Collection & Recycling                                                                                                                                                                           ,Vehicles                                                                                                                                                                                                                                                                                                    
Suez Recycling & Recovery Uk Limited                                                      ,NP01652   ,2018-10-30,2018-11-06,562017    ,,29721,Refuse Collection & Recycling                                                                                                                                                                           ,Bin deliveries                                                                                                                                                                                                                                                                                              
Suez Recycling & Recovery Uk Limited                                                      ,NP01652   ,2018-10-30,2018-11-06,562017    ,,29721,Refuse Collection & Recycling                                                                                                                                                                           ,Green Waste Service - June 18 Labour                                                                                                                                                                                                                                                                        
Suez Recycling & Recovery Uk Limited                                                      ,NP01652   ,2018-10-30,2018-11-06,562017    ,,29721,Refuse Collection & Recycling                                                                                                                                                                           ,Vehicles                                                                                                                                                                                                                                                                                                    
Suez Recycling & Recovery Uk Limited                                                      ,NP01651   ,2018-10-30,2018-11-06,562017    ,,49177,Refuse Collection & Recycling                                                                                                                                                                           ,CORE IT costs                                                                                                                                                                                                                                                                                               
Suez Recycling & Recovery Uk Limited                                                      ,NP01651   ,2018-10-30,2018-11-06,562017    ,,49177,Refuse Collection & Recycling                                                                                                                                                                           ,Green Waste Service - May 2018 Labour                                                                                                                                                                                                                                                                       
Suez Recycling & Recovery Uk Limited                                                      ,NP01651   ,2018-10-30,2018-11-06,562017    ,,49177,Refuse Collection & Recycling                                                                                                                                                                           ,Vehicles                                                                                                                                                                                                                                                                                                    
Suez Recycling & Recovery Uk Limited                                                      ,NP01650   ,2018-10-30,2018-11-06,562017    ,,10188,Refuse Collection & Recycling                                                                                                                                                                           ,Additional resources for the delivery of bin                                                                                                                                                                                                                                                                
Suez Recycling & Recovery Uk Limited                                                      ,NP01650   ,2018-10-30,2018-11-06,562017    ,,10188,Refuse Collection & Recycling                                                                                                                                                                           ,Green Waste Services - Apr 18 Labour                                                                                                                                                                                                                                                                        
Suez Recycling & Recovery Uk Limited                                                      ,NP01650   ,2018-10-30,2018-11-06,562017    ,,10188,Refuse Collection & Recycling                                                                                                                                                                           ,Vehicle Collections                                                                                                                                                                                                                                                                                         
Suez Recycling & Recovery Uk Limited                                                      ,NP01650   ,2018-10-30,2018-11-06,562017    ,,10188,Refuse Collection & Recycling                                                                                                                                                                           ,Vehicles                                                                                                                                                                                                                                                                                                    
