Number and types of transactions for value by all account customers,,,,,
,,,,,
Metrics, ,,,,
Calendar Month,Mar-20,,,,
Account Customer,FR,DFL,TP,DLG,Total
MCKEAG & CO,0,0,1,25,26
MIDDLETON & UPSALL LLP,1,0,5,20,26
PINKNEY GRUNWELLS,1,0,3,22,26
PUNCH ROBSON,1,0,1,24,26
RIDLEY & HALL LLP,0,0,5,21,26
STEPHENS SCOWN,0,0,7,19,26
WANNOP FOX STAFFURTH & BRAY,0,1,1,24,26
WHITEHEAD MONCKTON,0,0,3,23,26
WOODFINES SOLICITORS,0,0,5,21,26
WOODHOUSE & COMPANY,1,0,2,23,26
ADAMS KAYE LTD,0,0,0,25,25
AH BROOKS & CO,0,0,2,23,25
ANTHONY GOLD,0,1,1,23,25
ASKEWS,0,0,1,24,25
Biscoes,1,0,3,21,25
BRABNERS LLP,0,0,9,16,25
E D C LORD & CO,0,0,1,24,25
FLETCHER LONGSTAFF LIMITED,0,0,8,17,25
Gill Akaster,0,0,2,23,25
GIRLINGS,0,0,6,19,25
HALLETT & CO,0,0,9,16,25
HARRISON DRURY,1,0,5,19,25
JAMES LEGAL,1,0,1,23,25
KINGSFORDS,0,1,2,22,25
Page Nelson,0,0,4,21,25
PARRY DAVIES CLWYD JONES & LLOYD,0,0,2,23,25
PAUL CROWLEY & CO,1,0,1,23,25
SCJ SOLICITORS,6,0,4,15,25
SQUIRE PATTON BOGGS (UK) LLP,0,0,3,22,25
TOLLERS LLP,0,0,3,22,25
UNDERWOOD VINECOMBE LLP,0,0,7,18,25
WILLIAMS & CO (CLECKHEATON),0,0,4,21,25
ALLSOP DURN,0,1,0,23,24
BBMW LTD,0,0,3,21,24
BENNETTS SOLICITORS (MACCLESFIELD),0,0,7,17,24
BEVISS & BECKINGSALE,0,0,3,21,24
BRIGHTSTONE LAW LLP,0,0,0,24,24
BRM SOLICITORS,0,0,9,15,24
CORNISH VENNING CHELLEWS SOLICITORS,1,0,8,15,24
CROSS SOLICITORS,0,0,3,21,24
DOBBS & DREW PROPERTY LAWYERS LIMITED,0,0,7,17,24
GALLOWAY HUGHES LLP,0,0,2,22,24
GAMLINS LAW,0,0,3,21,24
GITTINS MCDONALD,1,0,4,19,24
HETTS,1,0,2,21,24
INGHAMS,1,0,3,20,24
IVES & CO,1,0,2,21,24
KUIT STEINART LEVY,0,0,1,23,24
LARGE & GIBSON,0,0,1,23,24
LENNON & CO (LENNONS SOLICITORS),0,0,2,22,24
MURRAY HILLS,0,0,0,24,24
NYLAND & BEATTIE,1,0,3,20,24
PHILIP J HAMMOND,1,0,0,23,24
RICH & CARR LIMITED,0,0,3,21,24
ROTHWELL & EVANS,0,0,1,23,24
STUART & CO,1,0,0,23,24
TEACHER STERN LLP,0,0,1,23,24
WALKER MORRIS LLP,1,0,2,21,24
WOLFERSTANS,0,0,8,16,24
ACORN SOLICITORS,0,0,2,21,23
ALLETSONS (BRIDGWATER),1,0,1,21,23
ANGELA VINEY CONVEYANCING SERVICES,1,0,4,18,23
AUSTIN RAY,0,0,3,20,23
CHARLES RUSSELL SPEECHLYS LLP,0,0,3,20,23
CMS CAMERON MCKENNA LLP,0,0,12,11,23
DAVID BUNN & CO,0,0,0,23,23
DEBENHAMS OTTAWAY,2,0,3,18,23
DMH STALLARD,0,0,6,17,23
DUNN & BAKER,1,0,5,17,23
EMG SOLICITORS LIMITED,0,0,2,21,23
FIONA BRUCE & CO LLP,0,0,1,22,23
Gard & Co,0,0,1,22,23
GISBY HARRISON,1,1,3,18,23
HAY & KILNER,0,0,5,18,23
HOLLEY & STEER,1,0,0,22,23
KLB SOLICITORS LLP,0,0,3,20,23
LEWIS & DICK,0,0,1,22,23
PAUL RUDD,0,0,5,18,23
POOLE TOWNSEND ESTATES LTD,2,0,2,19,23
RUPERT WOOD & SON,0,0,0,23,23
SMITH SUTCLIFFE,0,0,4,19,23
SYMES BAINS BROOMER LIMITED,1,0,3,19,23
THOMPSON AND COOKE (AKA  T & C SOLICITORS LIMITED),2,0,3,18,23
TINKLIN SPRINGALL,1,0,2,20,23
UNSWORTH ROSE,0,0,1,22,23
VERSUS LAW LTD,1,0,0,22,23
VICTORIA KENNY TRADING AS KENNY SO,0,0,6,17,23
