"supplier_name","account_name","service","total_value","privilege","trade_cat","service_category"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","14909.3","Data","72221000","environment"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","106314","Data","72221000","environment"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","106314","Data","72221000","environment"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","425254","Data","72221000","environment"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","66540","Data","72221000","environment"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","94708","Data","72221000","environment"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","917514","Data","72221000","environment"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","563111","Data","72221000","environment"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","5021","Data","72221000","environment"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","563111","Data","72000000","environment"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","17504","Data","72000000","environment"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","54217","Data","72000000","environment"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","48775.2","Data","72000000","environment"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","586343","Data","72000000","environment"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","586343","Data","72000000","environment"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","47353","Data","72000000","environment"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","20724.5","Data","48000000","environment"
"ALLIANCE DISPOSABLES LIMITED","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","32982.5","Consumer Products","39222100","environment"
