"organisation_name","purchase_order_number","order_date","total_value","supplier_name","account_name","service"
"Rochdale Borough Council","d1050349","2015-05-14","20257.3","J COONEY LTD","ROADWORKS","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1050356","2015-05-14","96214.1","PHS GROUP PLC","HYGIENE EQUIPMENT","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","q1004377","2015-05-14","5028.75","JGM AGENCY","PUBLICITY","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","s1018701","2015-05-14","9000","MICK TAYLOR LIMITED","TRANSACTIONS-EXPENDITURE","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","d1050362","2015-05-15","172740","VBA JOINT VENTURE LTD","NEW CONSTRUCTION","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050392","2015-05-18","45108.4","AECOM INFRASTRUCTURE AND ENVIRONMENT UK LTD","CONDITION SURVEYS","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1017046","2015-05-18","6757.39","INSPIREDSPACES ROCHDALE LTD","PURCHASE OF ICT HARDWARE","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017049","2015-05-18","20591.3","INSPIREDSPACES ROCHDALE LTD","IT SUPPORT","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017051","2015-05-18","28671.6","INSPIREDSPACES ROCHDALE LTD","PURCHASE OF ICT HARDWARE","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017053","2015-05-18","7814","THE CO OPERATIVE ACADEMY OF MANCHESTER","OTHER EST - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017058","2015-05-18","8345.26","INSPIREDSPACES ROCHDALE LTD","PURCHASE OF ICT HARDWARE","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","ph100831","2015-05-18","138408","BIG LIFE CENTRES","PH BIG LIFE CONTRACT","PUBLIC HEALTH"
"Rochdale Borough Council","ph100832","2015-05-18","138408","BIG LIFE CENTRES","PH BIG LIFE CONTRACT","PUBLIC HEALTH"
"Rochdale Borough Council","q1004386","2015-05-18","60000","P AND MM EMPLOYEE BENEFITS","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","s1018710","2015-05-18","19992","PENNINE CARE NHS","SERVICE LEVEL AGREEMENTS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","d1050414","2015-05-19","9808","TRANSPORT FOR GREATER MANCHESTER","ENVIRONMENTAL WORKS LANDSCAPE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050428","2015-05-19","70000","THE BOND BOARD LIMITED","GRANTS TO OTHER BODIES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050433","2015-05-19","25000","THE BOND BOARD LIMITED","ACTIVITIES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050456","2015-05-19","13000","ENTERPRISE MANCHESTER PARTNERSHIP LTD","EQUIPMENT - GENERAL","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050458","2015-05-19","11559.9","GROUNDWORK LANDSCAPES LIMITED","IMPROVEMENTS-MODERNISATION","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1017068","2015-05-19","7680","CAPITA CHILDREN`S SERVICES","IT EQUIPMENT","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017069","2015-05-19","94500","POSITIVE STEPS","EXTERNALLY MANAGED FUNDS","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","q1004396","2015-05-19","6794","YOTTA LIMITED","SOFTWARE","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1050462","2015-05-20","14619","JMHA","PROPERTY REFURBISHMENT (HOUSING)","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050463","2015-05-20","6940","POWERMASTER SERVICE LTD","PROPERTY - WORKS ELEMENT","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050465","2015-05-20","310000","COMMUNITY LIGHTING PARTNERSHIP ROCHDALE LTD","PFI SCHEMES RPIX","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1050469","2015-05-20","8925","GENR8 DEVELOPMENTS LLP","OTHER SURVEYS","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050480","2015-05-20","9752","MOUCHEL LTD","ROADWORKS","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1050485","2015-05-20","45533.5","ROCHDALE DEVELOPMENT AGENCY","GRANTS TO THE NON VOLUNTARY SECTOR","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1017092","2015-05-20","97262.1","INSPIREDSPACES ROCHDALE PROJECTCO2 LTD","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017093","2015-05-20","46217.2","INSPIREDSPACES ROCHDALE PROJECTCO2 LTD","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","q1004403","2015-05-20","43588","BINDMONT PRINT SERVICES LTD","PRINTING & STATIONERY","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004412","2015-05-20","37800","PHOENIX SOFTWARE LIMITED","SOFTWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","s1018733","2015-05-20","5140","MICK TAYLOR LIMITED","TRANSACTIONS-EXPENDITURE","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","x1011033","2015-05-20","27000","STOCKPORT METROPOLITAN BOROUGH COUNCIL","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","x1011034","2015-05-20","27000","STOCKPORT METROPOLITAN BOROUGH COUNCIL","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","x1011035","2015-05-20","27000","STOCKPORT METROPOLITAN BOROUGH COUNCIL","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","d1050527","2015-05-21","5874","BENCHMARK SECURITY SOLUTIONS LTD","DEMOLITION","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1017095","2015-05-21","25000","CROSSROADS CARE IN GREATER MANCHESTER","SERVICE LEVEL AGREEMENTS","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017098","2015-05-21","25000","CROSSROADS CARE IN GREATER MANCHESTER","SERVICE LEVEL AGREEMENTS","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017099","2015-05-21","25000","CROSSROADS CARE IN GREATER MANCHESTER","SERVICE LEVEL AGREEMENTS","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017100","2015-05-21","25000","CROSSROADS CARE IN GREATER MANCHESTER","SERVICE LEVEL AGREEMENTS","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","ph100836","2015-05-21","18243","ICE LIMITED","PH BUSINESS CASES","PUBLIC HEALTH"
"Rochdale Borough Council","q1004418","2015-05-21","5996","CANNONBALL EVENTS","EVENTS","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004419","2015-05-21","7192","AGILISYS LIMITED","AGILISYS CONTRACT","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004420","2015-05-21","6444","AGILISYS LIMITED","AGILISYS CONTRACT","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004429","2015-05-21","28800","CIVICA UK LIMITED","PURCHASE OF ICT SOFTWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","w1000852","2015-05-21","27000","LANCASHIRE COUNTY COUNCIL","RESIDENTIAL LONG TERM","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","w1000853","2015-05-21","17500","COUNCIL FOR VOLUNTARY SERVICE ROCHDALE","SERVICE LEVEL AGREEMENTS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","d1050542","2015-05-22","5412.76","ELECTRICITY NORTH WEST LTD","DEMOLITION","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050543","2015-05-22","20000","KEY TO THE DOOR","ACTIVITIES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050560","2015-05-22","14000","GELPACK EXCELSIOR LTD","EQUIPMENT - GENERAL","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050563","2015-05-22","45742.5","UNITY PARTNERSHIP LTD","AGENCY STAFF","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","e1017116","2015-05-22","22672.1","ERNST & YOUNG LLP","CONSULTANTS FEES","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","s1018749","2015-05-22","5775","FLETCHER BUILDING SERVICES LIMITED","IMPROVEMENTS-EXTENSIONS & ALTERATIONS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","d1050568","2015-05-26","20000","COMPASS MINERALS UK LIMITED","CLOTHES, UNIFORM AND LAUNDRY","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1050571","2015-05-26","250000","A E YATES LTD","DRAINAGE AND SEWERS","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1017120","2015-05-26","31360","PENNINE CARE NHS","TRAINING","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","q1004467","2015-05-26","1456220","AGILISYS LIMITED","AGILISYS CONTRACT","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004468","2015-05-26","945363","AGILISYS LIMITED","AGILISYS CONTRACT","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004469","2015-05-26","155014","AGILISYS LIMITED","AGILISYS CONTRACT","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004479","2015-05-26","20000","TRANSPORT FOR GREATER MANCHESTER","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004480","2015-05-26","100000","TUSKERDIRECT LIMITED","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004481","2015-05-26","20000","NORTHERN RAIL LIMITED","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004482","2015-05-26","20000","KEOGHS LLP","INPUT VAT -  ADJUSTMENTS","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004492","2015-05-27","6090","MANCHESTER METROPOLITAN UNIVERSITY","TRAINING","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","q1004501","2015-05-27","6684.64","IMPROVEMENT AND  DEVELOPMENT AGENCY","TRAINING","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1050612","2015-05-28","10200","OUR LIFE","FEES / COMMISSION","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050628","2015-05-28","14557.3","J COONEY LTD","REPAIRS & ALTS OF BUILDINGS","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","q1004514","2015-05-28","5599.36","SPECIALIST COMPUTER CENTRES PLC","PURCHASE OF ICT HARDWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","x1011081","2015-05-28","10659.8","OLDHAM MBC","MISC CHARGES","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","d1050640","2015-05-29","5279.6","HERITAGE ROOFING AND MAINTENANCE","IMPROVEMENTS-MODERNISATION","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1050641","2015-05-29","14708.8","ROCHDALE TOWN CENTRE MANAGEMENT CO","GRANTS TO THE NON VOLUNTARY SECTOR","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050684","2015-06-01","7139.37","PURCELL MILLER TRITTON LLP","CONDITION SURVEYS","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","f1004139","2015-06-01","161173","GRANT THORNTON UK LLP","FEES / COMMISSION","FINANCE SERVICES"
"Rochdale Borough Council","f1004144","2015-06-01","5875","BIBLIOGRAPHIC DATA SERVICES LTD","SUBSCRIPTIONS","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","ph100843","2015-06-01","12438","ICE LIMITED","PH BUSINESS CASES","PUBLIC HEALTH"
"Rochdale Borough Council","ph100844","2015-06-01","75415","ROCHDALE & DISTRICT MIND","PH BUSINESS CASES","PUBLIC HEALTH"
"Rochdale Borough Council","q1004530","2015-06-01","8500","OPTEVIA LTD","PURCHASE OF ICT SOFTWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","x1011100","2015-06-01","33332","CAREERVISION LTD","SOFTWARE","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","d1050718","2015-06-02","73000","BRENTWOOD","GRANTS TO THE VOLUNTARY SECTOR","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","ph100847","2015-06-02","14419","NHS GREATER MANCHESTER CSU","PROFESSIONAL FEES","PUBLIC HEALTH"
"Rochdale Borough Council","q1004536","2015-06-02","11285.9","ZURICH INSURANCE PLC","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004537","2015-06-02","93583.4","ZURICH INSURANCE PLC","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004538","2015-06-02","326748","ZURICH INSURANCE PLC","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004539","2015-06-02","71800","ZURICH INSURANCE PLC","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","s1018790","2015-06-02","5047","STANNAH LIFT SERVICES LTD","IMPROVEMENTS-EXTENSIONS & ALTERATIONS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","d1050737","2015-06-03","6000","JMHA","PROPERTY REFURBISHMENT (HOUSING)","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1017177","2015-06-03","25000","THE INNOVATION UNIT LTD","FEES / COMMISSION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017178","2015-06-03","5000","OFFICE DEPOT UK LIMITED","PRINTING","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017181","2015-06-03","28942.5","INSPIREDSPACES ROCHDALE LTD","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","q1004544","2015-06-03","20407.5","ADDLESHAW GODDARD LLP","PROFESSIONAL FEES","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004549","2015-06-03","5785","UPDATA INFRASTRUCTURE UK LTD","PURCHASE OF ICT HARDWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","w1000899","2015-06-03","6000","ACERPLAN LIMITED","CARERS - ADULT CARE CONTRACT","LEARNING DIS & MENTAL HEALTH"
"Rochdale Borough Council","d1050767","2015-06-04","5060","MACE LIMITED","CONSULTANT FEES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1017185","2015-06-04","39734.6","INSPIREDSPACES ROCHDALE LTD","PURCHASE OF ICT HARDWARE","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017187","2015-06-04","7930.58","INSPIREDSPACES ROCHDALE LTD","PURCHASE OF ICT HARDWARE","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017196","2015-06-04","385149","INSPIREDSPACES ROCHDALE PROJECTCO2 LTD","PFI SCHEMES RPIX","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017197","2015-06-04","313445","INSPIREDSPACES ROCHDALE PROJECT CO1 LTD","PFI SCHEMES RPIX","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","f1004150","2015-06-04","6360","NORTHGATE PUBLIC SERVICES (UK) LTD","SOFTWARE","FINANCE SERVICES"
"Rochdale Borough Council","q1004558","2015-06-04","23400","VODAFONE - CABLE & WIRELESS","TELEPHONE EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","s1018797","2015-06-04","45000","MANCHESTER WORKING LIMITED","MAINTENANCE STAIRLIFTS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","d1050781","2015-06-05","9817.59","ENTERPRISE MANCHESTER PARTNERSHIP LTD","REFUSE DISPOSAL","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1017209","2015-06-05","9800","CHRISTINE FOSTER LIMITED","AGENCY STAFF","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","f1004154","2015-06-05","5700","PRICE WATERHOUSE COOPERS","PROVISIONS UTILISED IN YEAR","FINANCE SERVICES"
"Rochdale Borough Council","s1018807","2015-06-05","5000","HOWARTH TIMBER & BUILDING SUPPLIES LTD","ADAPTATIONS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","d1050798","2015-06-08","8640","EMO OIL LIMITED","TRANSACTIONS-EXPENDITURE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050800","2015-06-08","8550","EMO OIL LIMITED","TRANSACTIONS-EXPENDITURE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050810","2015-06-08","6112.34","KAPPA LAMBDA SQUARED LTD","TAXI HIRE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1017218","2015-06-08","9500","EC SAFEGUARDING CONSULTANCY LTD","AGENCY STAFF","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","d1050854","2015-06-09","10500","NEW IMAGE PUBLIC RELATIONS LIMITED","REPAIRS & ALTS OF BUILDINGS","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050862","2015-06-09","8040.9","BURNT TREE GROUP","TRANSACTIONS-EXPENDITURE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050879","2015-06-09","5870","TOMAX BUILDING SERVICES LTD","IMPROVEMENTS-MODERNISATION","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1017243","2015-06-09","10000","AXIOM EDUCATION (ROCHDALE) LIMITED","FEES -CONSTRUCTION CONVERSION RENOVATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017244","2015-06-09","15750","AXIOM EDUCATION (ROCHDALE) LIMITED","FEES -CONSTRUCTION CONVERSION RENOVATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017246","2015-06-09","48252","PENNINE CARE NHS","CONSULTANT FEES","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017247","2015-06-09","61277.4","FAMILY ACTION","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","x1011131","2015-06-09","5310","YOUTH JUSTICE BOARD","SERVICE LEVEL AGREEMENTS","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","d1050892","2015-06-10","8300","SPUR INFORMATION SOLUTIONS LIMITED","IT EQUIPMENT","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1050909","2015-06-10","15720","PROFILE SECURITY SERVICES LIMITED","SECURITY","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050910","2015-06-10","21000","SALFORD CITY COUNCIL","AGMA","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1017249","2015-06-10","21633.1","AXIOM EDUCATION (ROCHDALE) LIMITED","MEALS","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017256","2015-06-10","669635","AXIOM EDUCATION (ROCHDALE) LIMITED","PFI SCHEMES RPIX","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017258","2015-06-10","158530","AXIOM EDUCATION (ROCHDALE) LIMITED","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","ph100866","2015-06-10","9623.15","MAUDESPORT LTD","ACTIVITIES","PUBLIC HEALTH"
"Rochdale Borough Council","q1004603","2015-06-10","47355","UPDATA INFRASTRUCTURE UK LTD","COMMUNICATION AND COMPUTING - GENERAL","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004604","2015-06-10","32038","UPDATA INFRASTRUCTURE UK LTD","COMMUNICATION AND COMPUTING - GENERAL","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004609","2015-06-10","25440","AON LIMITED","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004610","2015-06-10","15075.3","AON LIMITED","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004611","2015-06-10","11637.2","AON LIMITED","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004612","2015-06-10","23358.7","AON LIMITED","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004613","2015-06-10","247479","AON LIMITED","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004614","2015-06-10","5251.52","AON LIMITED","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004615","2015-06-10","51283.3","AON LIMITED","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004616","2015-06-10","6369.86","AON LIMITED","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004617","2015-06-10","66011.5","AON LIMITED","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004619","2015-06-10","5703.75","JGM AGENCY","PUBLICITY","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","s1018828","2015-06-10","96000","ELDERCARE UK LTD","TELEPHONE EXPENDITURE","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","d1050930","2015-06-11","8552.9","NORTHGATE VEHICLE HIRE LIMITED","TRANSACTIONS-EXPENDITURE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050939","2015-06-11","5822.28","STRAIGHT MANUFACTURING LTD","PURCHASE OF OTHER EQUIPMENT","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1017273","2015-06-11","44100","POSITIVE STEPS","EXTERNALLY MANAGED FUNDS","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","f1004162","2015-06-11","5779.27","BREEZE LIMITED","PRINTING & STATIONERY","FINANCE SERVICES"
"Rochdale Borough Council","q1004630","2015-06-11","20630","NORTH WEST EMPLOYERS","SUBSCRIPTIONS","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004651","2015-06-12","386974","PHOENIX SOFTWARE LIMITED","SOFTWARE LICENSES","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","s1018856","2015-06-12","23350","NEWLINE ADAPTATIONS LTD","TRANSACTIONS-EXPENDITURE","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","w1000923","2015-06-12","25000","PETRUS","SERVICE LEVEL AGREEMENTS","LEARNING DIS & MENTAL HEALTH"
"Rochdale Borough Council","w1000924","2015-06-12","5237","PANZTEL UK LTD","SOFTWARE","LEARNING DIS & MENTAL HEALTH"
"Rochdale Borough Council","d1050979","2015-06-15","113060","BARTEC AUTO ID LTD","MAINTENANCE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050989","2015-06-15","173429","VBA JOINT VENTURE LTD","NEW CONSTRUCTION","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050994","2015-06-15","5344.8","DALMATIC LIGHTING MANAGEMENT","PROPERTY - WORKS ELEMENT","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1017291","2015-06-15","22734","PONTVILLE SCHOOL","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017292","2015-06-15","5812.5","MARIA BOYLE","CONSULTANT FEES","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017298","2015-06-15","9736","PONTVILLE SCHOOL","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017299","2015-06-15","9736","PONTVILLE SCHOOL","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017300","2015-06-15","9736","PONTVILLE SCHOOL","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017302","2015-06-15","20001.1","INSPIREDSPACES ROCHDALE LTD","IT SUPPORT","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","ph100878","2015-06-15","138408","BIG LIFE CENTRES","PH BIG LIFE CONTRACT","PUBLIC HEALTH"
"Rochdale Borough Council","q1004659","2015-06-15","9075","UPDATA INFRASTRUCTURE UK LTD","COMMUNICATION AND COMPUTING - GENERAL","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1051000","2015-06-16","9407","ATI CREMATORS","CENTRAL HEATING","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1051001","2015-06-16","28500","EMO OIL LIMITED","TRANSACTIONS-EXPENDITURE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1051009","2015-06-16","9000","PENNINE PROSPECTS","GRANTS TO THE NON VOLUNTARY SECTOR","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1051020","2015-06-16","5134.5","PROBRUSH","EQUIPMENT - GENERAL","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1051022","2015-06-16","300000","COMMUNITY LIGHTING PARTNERSHIP ROCHDALE LTD","PFI SCHEMES RPIX","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","e1017305","2015-06-16","36445.2","INSPIREDSPACES ROCHDALE LTD","PURCHASE OF ICT HARDWARE","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","d1051036","2015-06-17","5119.08","URBAN VISION PARTNERSHIP LTD","AGENCY STAFF","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1051051","2015-06-17","5811.43","URBAN VISION PARTNERSHIP LTD","AGENCY STAFF","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1051052","2015-06-17","6593.1","J A CRYER EXCAVATION & GROUNDWORK CONTRACTORS LTD","ENVIRONMENTAL WORKS LANDSCAPE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1017322","2015-06-17","63666.7","UNDERLEY GARDEN SCHOOLS","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017337","2015-06-17","158757","INSPIREDSPACES ROCHDALE LTD","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017338","2015-06-17","11827.7","INSPIREDSPACES ROCHDALE LTD","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","q1004671","2015-06-17","7125","STHREE PARTNERSHIP LLP","CAPITAL SALARIES","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","w1000930","2015-06-17","6000","TOGETHER WORKING FOR WELLBEING","SOCIAL SERVICES OTHER","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","d1051056","2015-06-18","43868","IAN FARMER ASSOCIATES","IMPROVEMENTS-MODERNISATION","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","e1017341","2015-06-18","615956","INSPIREDSPACES ROCHDALE PROJECTCO2 LTD","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
