"organisation_name","purchase_order_number","order_date","total_value","supplier_name","account_name","service"
"Rochdale Borough Council","q1002849","2014-10-24","13530","COURTESY COACHES LTD","ACTIVITIES","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1002854","2014-10-24","8800","UPDATA INFRASTRUCTURE UK LTD","COMMUNICATION AND COMPUTING - GENERAL","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","x1009862","2014-10-24","5000","CHILDREN AND FAMILIES ACROSS BORDERS","FEES / COMMISSION","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","x1009864","2014-10-24","5197","THE PLACE YOUNG PEOPLES COMPANY LTD","CONSULTANT FEES","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","s1017562","2014-10-26","7065","MACK4 LIMITED","IMPROVEMENTS-EXTENSIONS & ALTERATIONS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","s1017563","2014-10-26","8063","TERRY GROUP LTD","IMPROVEMENTS-EXTENSIONS & ALTERATIONS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","d1045801","2014-10-27","8000","GROVER LEWIS ASSOCIATES","CONSULTANT FEES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045802","2014-10-27","7000","JEREMY BENN ASSOCIATES LTD","CONSULTANT FEES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","q1002864","2014-10-27","8550","TAMESIDE METROPOLITAN BOROUGH COUNCIL","AGMA","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1045805","2014-10-28","5640","R J & D RAINFORD","TREES, SHRUBS, PLANTS","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045806","2014-10-28","8000","AECOM PROFESSIONAL SERVICES LTD","SURVEYORS FEES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045816","2014-10-28","6000","CUNDALL","ENGINEERS FEES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045820","2014-10-28","5598","SAUNDERS & TAYLOR (MANCHESTER) LIMITED","REPAIRS AND HEATING (EXC BOILERS)","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045822","2014-10-28","6250","SMW ARCHITECTS LTD","ARCHITECTS  FEES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045826","2014-10-28","8240","EMO OIL LIMITED","TRANSACTIONS-EXPENDITURE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045827","2014-10-28","138262","RIVERSIDE TRUCK RENTAL","LONG TERM CONTRACTED EXTERNAL HIRE","ECONOMY AND ENVIRONMENT"
