"supplier_name","account_name","service","order_date","total_value","cpv_codes"
"ROCHDALE BOROUGHWIDE HOUSING","CONTRACTED SERVICES","NEIGHBOURHOODS AND ENVIRONMENT","2018-11-26","18044.5","79210000 |79221000 |48450000 79631000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |50720000 |03121000 77300000 |79212000 |51340000 |34134200 |92000000 98000000 "
"ROCHDALE BOROUGHWIDE HOUSING","CONTRACTS","NEIGHBOURHOODS AND ENVIRONMENT","2018-11-29","100000","79210000 |79221000 |48450000 79631000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |50720000 |03121000 77300000 |79212000 |51340000 |34134200 |92000000 98000000 "
"ROCHDALE BOROUGHWIDE HOUSING","CONTRACTED SERVICES","NEIGHBOURHOODS AND ENVIRONMENT","2018-12-17","10795.5","79210000 |79221000 |48450000 79631000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |50720000 |03121000 77300000 |79212000 |51340000 |34134200 |92000000 98000000 "
"ROCHDALE BOROUGHWIDE HOUSING","CONTRACTED SERVICES","NEIGHBOURHOODS AND ENVIRONMENT","2019-03-12","9423.82","79210000 |79221000 |48450000 79631000 |43325100 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |50720000 |03121000 77300000 |79212000 |51340000 |34134200 |92000000 98000000 "
"ROCHDALE BOROUGHWIDE HOUSING","CONTRACTED SERVICES","NEIGHBOURHOODS AND ENVIRONMENT","2019-03-22","7162.48","79210000 |79221000 |48450000 79631000 |43325100 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |50720000 |03121000 77300000 |79212000 |51340000 |34134200 |92000000 98000000 "
"ROCHDALE BOROUGHWIDE HOUSING","ACCOMMODATION","NEIGHBOURHOODS AND ENVIRONMENT","2019-04-02","10000","79210000 |79221000 |48450000 79631000 |43325100 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |33195200 |50720000 |03121000 77300000 |79212000 |51340000 |34134200 |92000000 98000000 "
"ROCHDALE BOROUGHWIDE HOUSING","MINOR BUILDING WORKS","NEIGHBOURHOODS AND ENVIRONMENT","2019-10-03","7722","79210000 |79221000 |79512000 |48450000 79631000 |43325100 |45111214 45111220 45111240 45111250 90733500 |33195200 |50720000 |03121000 77300000 |71355000 |79212000 |51340000 |34134200 |92000000 98000000 "
"ROCHDALE BOROUGHWIDE HOUSING","ACCOMMODATION","NEIGHBOURHOODS AND ENVIRONMENT","2019-10-28","41651.1","79210000 |79221000 |79512000 |48450000 79631000 |43325100 |45111214 45111220 45111240 45111250 90733500 |33195200 |50720000 |03121000 77300000 |71355000 |39220000 |79212000 |51340000 |34134200 |92000000 98000000 "
"ROCHDALE BOROUGHWIDE HOUSING","ACTIVITIES","NEIGHBOURHOODS AND ENVIRONMENT","2019-10-31","100000","79210000 |79221000 |79512000 |48450000 79631000 |43325100 |45111214 45111220 45111240 45111250 90733500 |33195200 |50720000 |03121000 77300000 |71355000 |39220000 |79212000 |51340000 |34134200 |92000000 98000000 "
"ROCHDALE BOROUGHWIDE HOUSING","ACTIVITIES","NEIGHBOURHOODS AND ENVIRONMENT","2019-10-31","40000","79210000 |79221000 |79512000 |48450000 79631000 |43325100 |45111214 45111220 45111240 45111250 90733500 |33195200 |50720000 |03121000 77300000 |71355000 |39220000 |79212000 |51340000 |34134200 |92000000 98000000 "
"ROCHDALE BOROUGHWIDE HOUSING","CONTRACTS","NEIGHBOURHOODS AND ENVIRONMENT","2019-10-31","100000","79210000 |79221000 |79512000 |48450000 79631000 |43325100 |45111214 45111220 45111240 45111250 90733500 |33195200 |50720000 |03121000 77300000 |71355000 |39220000 |79212000 |51340000 |34134200 |92000000 98000000 "
"ROCHDALE BOROUGHWIDE HOUSING","CONTRACTS","NEIGHBOURHOODS AND ENVIRONMENT","2019-11-11","9882.42","79210000 |79221000 |79512000 |48450000 79631000 |43325100 |45111214 45111220 45111240 45111250 90733500 |33195200 |50720000 |03121000 77300000 |71355000 |39220000 |79212000 |51340000 |34134200 |92000000 98000000 "
"ROCHDALE BOROUGHWIDE HOUSING","BASIC WAGES","NEIGHBOURHOODS AND ENVIRONMENT","2019-11-18","53181.4","79210000 |79221000 |79512000 |48450000 79631000 |43325100 |45111214 45111220 45111240 45111250 90733500 |33195200 |50720000 |03121000 77300000 |71355000 |39220000 |79212000 |51340000 |34134200 |92000000 98000000 "
"ROCHDALE BOROUGHWIDE HOUSING","EXPENSES - GENERAL","LEARNING DIS & MENTAL HEALTH","2018-02-09","5908.8","79210000 |79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |34134200 "
"ROYAL MAIL GROUP PLC","POSTAGE","FINANCE SERVICES","2015-04-10","25000","30130000 30144000 48000000 60161000 64000000 79571000 "
"ROYAL MAIL GROUP PLC","PRINTING & STATIONERY","RESOURCES","2017-05-19","57486","30130000 30144000 48000000 60161000 64000000 79571000 |64110000 "
"ROYAL MAIL GROUP PLC","PRINTING & STATIONERY","RESOURCES","2017-06-20","5577.89","30130000 30144000 48000000 60161000 64000000 79571000 |64110000 "
"ROYAL MAIL GROUP PLC","PRINTING & STATIONERY","RESOURCES","2017-07-07","11682.3","30130000 30144000 48000000 60161000 64000000 79571000 |64110000 "
"ROYAL MAIL GROUP PLC","POSTAGE","RESOURCES","2017-08-04","10000","30130000 30144000 48000000 60161000 64000000 79571000 "
"ROYAL MAIL GROUP PLC","POSTAGE","CUSTOMERS & CORPORATE SERVICES","2015-06-22","7439.74","30130000 30144000 48000000 60161000 64000000 79571000 "
